,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Balance,Central Government Operation: Revenue,Central Government Operation: Expenditure,Gross Domestic Product: Estimate: Monthly,GDP per Capita: SNA 1968,GDP/Capita: SNA 1993: 1993 Base,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: sa,Real GDP: YoY: saar,Real GDP: sa: YoY,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: Output Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,OE Forecast: Australia: GDP: Nominal: USD,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,AF: Gross Domestic Product (GDP),AF: GDP: Changes in Inventories,AF: GDP: Household Consumption Expenditure including NPISHs,AF: GDP: Volume: 2002 Prices,AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services",GDP: 2010p: Final Consumption Expenditure: Government,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,AF: GDP: Exports of Goods and Services,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Gross Capital Formation,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work",NAS 2011-2012: GDP Deflator,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",GDP: GVA: NACE 2: Industry,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Information & Communication,GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Real Estate Activities,Government Consumption Expenditure: USD mn: Quarterly: Albania,GDP: Final Consumption: Government,GDP: Final Consumption: Households,Private Consumption Expenditure: USD mn: Annual: Albania,Private Consumption Expenditure: USD mn: Quarterly: Albania,Gross Domestic Product (GDP),GDP: Gross Value Added (GVA),GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Construction,GDP: Changes in Stocks
01/07/2004,,,-2824,34732,37556,1415,,,6050.81836336,27222.94759852,5316.61327429,15855.51596087,-2410.82996386,7509.25061037,,,,,,,,,,,59.2,67.7,56.1,51.7,52.5,9920.08057423,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,56.6,42.6,,58.9,,,,,,,,,,,,,,,,,,,6463.64,3639.64,-2824,50.3,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.38,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.38,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.38,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.38,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2004,,,-4054,33422,37477,1488,,,6060.25625767,25839.03118006,6033.54827239,13745.22665,-2570.62727476,7583.36119767,,,,,,,,,,,56.4,70.4,54.5,50.6,51.9,10153.98847243,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,55.4,43.3,,57.7,,,,,,,,,,,,,,,,,,,7543.88,3489.88,-4054,50.8,,,,,,,,,,,,,,,,,,,,,,,,
02/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2004,,,-2053,34271,36325,1636,,,7353.7833466,26831.9466077,5063.59520665,14414.56805444,-2638.12823682,7439.54859644,4.24030378,7.01694335,5.71244277,6.3002776,6.02734611,,4.15640394,2.46743018,5.07112869,,56.2,69.8,52.2,50.4,52.4,10077.67683326,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,54.6,44.8,,55.7,158790.5,92497.38,,,,,,,,,,,,,,,,,6769.16,4716.16,-2053,50.4,,,,,,,,,,,,,,,,,,,,,,,,
02/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.35,4.45,5.25,5,5.05,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,4.2,5.3,4.45,5.25,5,5.05,5.1,5.4,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,4.2,5.3,4.45,5.25,5,5.05,5.1,5.4,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,4.2,5.3,4.45,5.25,5,5.05,5.1,5.4,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,4.2,5.1,4.45,5.25,5,5.05,5.1,5.4,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,4.2,5.1,4.45,5.25,5,5.05,5.1,5.4,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,4.2,5.1,4.45,5.25,5,5.05,5.1,5.4,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,4.2,5.1,4.45,5.25,5,5.05,5.1,5.4,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,4.2,5.1,4.45,5.25,5,5.05,5.1,5.4,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
