,Gross Domestic Product (GDP),GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Information & Communication,GDP: Gross Value Added (GVA),GDP: Final Consumption: Government,GDP: Final Consumption: Households,GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Real Estate Activities,GDP: GVA: NACE 2: Construction,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Industry,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",NAS 2011-2012: GDP Deflator,GDP: 2010p: Final Consumption Expenditure: Government,GDP: Changes in Stocks,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services",Private Consumption Expenditure: USD mn: Quarterly: Albania,Private Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services",Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,Government Consumption Expenditure: USD mn: Quarterly: Albania,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: sa: YoY,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: saar,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Output Index,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,OE Forecast: Australia: GDP: Nominal: USD,AF: Gross Domestic Product (GDP),AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,AF: GDP: Gross Capital Formation,AF: GDP: Exports of Goods and Services,AF: GDP: Changes in Inventories,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Volume: 2002 Prices,AF: GDP: Household Consumption Expenditure including NPISHs,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Revenue,Central Government Operation: Expenditure,Central Government Operation: Balance,Gross Domestic Product: Estimate: Monthly,GDP/Capita: SNA 1993: 1993 Base,GDP per Capita: SNA 1968,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base
24/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
25/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.22,4,4,4,4,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
26/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.22,4,4,4,4,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
27/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.22,4,4,4,4,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
28/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.22,4,4,4,4,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
29/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.22,4,4,4,4,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
30/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.22,4,4,4,4,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
01/12/2004,,,,,,,,,,,,,,,,,804.27439099,,,5541.52262154,,,,12929.75052842,,3.35673346,2.81667133,6.4531433,5.9476619,3.23457262,8.02769513,3.11288862,,1.13935304,,58.1,,,51.2,50,49.1,65.6,54.5,100110.8,172226.4,246210.41336961,90773.03070918,87046.30143066,87046.30143066,47251.71409881,0,0,90179.96588484,200068.81343478,111319.33301581,,,8740.69,-2636.31,-11377,,47.3,54.1,,54.2,46383.36498556,,47348,58725,-11377,1520.9,10536542.4490504,,3966.89023028,34029.23557673,6342.81530486,23719.53004159,-6603.52242249,13318.72734768,19922.24977017,200068.81343478,3.5,4,4,5.22,4,4,4,4,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,9561801.15251704,,10538364.2182267
02/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
03/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
04/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
05/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
06/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
07/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
08/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
09/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
10/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
11/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
12/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
13/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
14/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
15/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
16/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
17/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.17,5.17,5.17,5.17,5.17,5.17,,,
18/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.17,5.17,5.17,5.17,5.17,5.17,,,
19/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.17,5.17,5.17,5.17,5.17,5.17,,,
20/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.17,5.17,5.17,5.17,5.17,5.17,,,
21/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.17,5.17,5.17,5.17,5.17,5.17,,,
22/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.3,5.1,5.17,5.17,5.17,5.17,5.17,5.17,,,
23/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4.25,5.25,4.25,4.25,4.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
24/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4.25,5.25,4.25,4.25,4.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
25/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4.25,5.25,4.25,4.25,4.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
26/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4.25,5.25,4.25,4.25,4.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
27/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4.25,5.25,4.25,4.25,4.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
28/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4.25,5.25,4.25,4.25,4.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
29/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4.25,5.25,4.25,4.25,4.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
30/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4.25,5.25,4.25,4.25,4.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
31/12/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,4.25,5.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
01/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6,,,51.4,52,48.5,63.5,55.6,,,,,,,,,,,,,,,10623.64,8394.64,-2229,,48,53.9,,54,,,41355,43584,-2229,1295,,,10845.44940725,33308.49652922,7396.09587622,15066.95124575,-2450.62259934,8046.98582544,10497.60842478,,4,4,5.2,4.25,4.25,4.25,5.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
02/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,4.25,5.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
03/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,4.25,5.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
04/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,4.25,5.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
05/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,4.25,5.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
06/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,4.25,5.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
07/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,5.2,4.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
08/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,5.2,4.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
09/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,5.2,4.25,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
10/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,5,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
11/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,5,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
12/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,5,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
13/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,5,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
14/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,5,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
15/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,5,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
16/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,5,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
17/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,5,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
18/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,5,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
19/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,5,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
20/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,5,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
21/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
22/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
23/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
24/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
25/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
26/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
27/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
28/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
29/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
30/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,4.25,4.25,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
31/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5.2,5.15,4.25,5,5.2,4.25,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
01/02/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,50.2,51.3,48.5,60.7,55.2,,,,,,,,,,,,,,,8457.36,1977.36,-6480,,47.6,53.4,,53.4,,,35111,41592,-6480,1410,,,5775.44835482,27740.33068695,6699.01909786,15265.86323427,-3798.31169097,7370.98122983,11169.2929208,,4,4,4.15,5.15,4.25,5,5,5.2,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
02/02/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4.15,5.15,4.25,5,5,5.2,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
03/02/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4.15,5.15,4.25,5,5,5.2,5.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
04/02/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4.05,5.15,4.25,5,5,5.15,5.2,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
05/02/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4.05,5.15,4.25,5,5,5.15,5.2,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,
